,,,,,,Testing 22
,,,,,,RD Detail
,,,,,,[As on date 05/06/2026]
DocNo,Date,Account.Name,Account2.Name,Voucher name,Item.Name,Quantity,Rate,Gross,Department.Name,Warehouse.Name,T1,T2
29,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh5,,1.00
29,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh6,,1.00
31,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh5,,1.00
31,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh6,,1.00
33,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh5,,1.00
33,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh6,,1.00
35,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh5,,1.00
35,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh6,,1.00
9,29/11/2023,Vendor B,,Delivery Notes,RMA3,5.00,8.00,40.00,dep4,wh5,,5.00
23,30/11/2023,Vendor B,,Material Receipt Notes,RMA3,5.00,8.00,40.00,dep4,wh5,,5.00
24,01/12/2023,Vendor C,,Material Receipt Notes,RMA2,1.00,9.00,9.00,dep2,wh2,,1.00
10,01/12/2023,Customer B,,Delivery Notes,RMA2,1.00,9.00,9.00,dep2,wh2,,1.00
26,01/12/2023,Vendor B,,Material Receipt Notes,item2,2.50,6.00,15.00,dep1,wh2,,2.50
36,04/12/2023,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh1,,1.00
36,04/12/2023,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh3,,1.00
38,04/12/2023,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh1,,1.00
38,04/12/2023,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh3,,1.00
41,04/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh1,,1.00
41,04/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh3,,1.00
44,04/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh1,,1.00
44,04/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh3,,1.00
48,04/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh1,,1.00
48,04/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh3,,1.00
50,04/12/2023,,,Stock Transfers,RMA1,1.00,9.00,9.00,,wh2,,1.00
50,04/12/2023,,,Stock Transfers,RMA1,1.00,9.00,9.00,,wh3,,1.00
51,04/12/2023,,,Stock Transfers,RMA1,1.00,9.00,9.00,,wh2,,1.00
51,04/12/2023,,,Stock Transfers,RMA1,1.00,9.00,9.00,,wh3,,1.00
53,04/12/2023,,,Stock Transfers,RMA1,1.00,9.00,9.00,,wh2,,1.00
53,04/12/2023,,,Stock Transfers,RMA1,1.00,9.00,9.00,,wh3,,1.00
25,04/12/2023,Vendor B,,Material Receipt Notes,item1,5.00,10.00,50.00,dep1,wh2,123.00,5.00
Focus_28,04/12/2023,Customer B,Purchase,Purchases Vouchers,item1,10.00,10.00,100.00,dep2,wh2,123.00,10.00
Focus_28,04/12/2023,Customer B,Purchase,Purchases Vouchers,item2,20.00,5.00,100.00,dep2,wh2,,20.00
27,04/12/2023,Customer B,,Material Receipt Notes,item1,5.00,10.00,50.00,dep2,wh2,123.00,5.00
27,04/12/2023,Customer B,,Material Receipt Notes,item2,5.00,5.00,25.00,dep2,wh2,,5.00
35,04/12/2023,Customer B,Sales - Computers,Sales Invoices,item1,10.00,,,dep2,wh2,123.00,
35,04/12/2023,Customer B,Sales - Computers,Sales Invoices,item3,8.00,,,dep2,wh2,,
Focus_29,05/12/2023,Vendor C,Purchase,Purchases Vouchers,item3,8.00,9.00,72.00,dep3,wh3,,8.00
Focus_29,05/12/2023,Vendor C,Purchase,Purchases Vouchers,item4,12.00,6.00,72.00,dep3,wh3,,12.00
Focus_29,05/12/2023,Vendor C,Purchase,Purchases Returns,item3,8.00,9.00,72.00,dep3,wh3,,8.00
Focus_29,05/12/2023,Vendor C,Purchase,Purchases Returns,item4,12.00,6.00,72.00,dep3,wh3,,12.00
36,12/12/2023,Customer A,Sales - Computers,Sales Invoices,RMA2,5.00,12.00,60.00,dep3,wh1,,5.00
36,12/12/2023,Customer A,Sales - Computers,Sales Invoices,RMA3,1.00,,,dep3,wh1,,
56,18/12/2023,,,Stock Transfers,RMA2,1.00,3.00,3.00,,wh2,,1.00
56,18/12/2023,,,Stock Transfers,RMA2,1.00,3.00,3.00,,wh1,,1.00
57,18/12/2023,,,Stock Transfers,RMA2,1.00,3.00,3.00,,wh2,,1.00
57,18/12/2023,,,Stock Transfers,RMA2,1.00,3.00,3.00,,wh1,,1.00
37,18/12/2023,Customer C,Sales - Computers,Sales Invoices,item3,6.00,,,dep3,wh3,,
37,18/12/2023,Customer C,Sales - Computers,Sales Invoices,item1,2.00,,,dep3,wh3,123.00,
37,18/12/2023,Customer C,Sales - Computers,Sales Invoices,item2,3.00,,,dep3,wh3,,
37,18/12/2023,Customer C,Sales - Computers,Sales Invoices,item4,3.00,,,dep3,wh3,,
11,21/12/2023,Vendor B,Purchase,New Pv,item1,10.00,5.00,50.00,dep1,wh1,123.00,10.00
Focus_30,22/12/2023,Vendor C,Purchase,Purchases Vouchers,item1,12.00,10.00,120.00,dep2,wh2,123.00,12.00
Focus_30,22/12/2023,Vendor C,Purchase,Purchases Vouchers,item2,15.00,5.00,75.00,dep2,wh2,,15.00
Focus_30,22/12/2023,Vendor C,Purchase,Purchases Vouchers,item3,13.00,6.00,78.00,dep2,wh2,,13.00
12,26/12/2023,Customer B,,Delivery Notes,RMA3,1.00,9.00,9.00,dep2,wh1,,1.00
60,26/12/2023,,,Stock Transfers,RMA2,1.00,6.00,6.00,,wh1,,1.00
60,26/12/2023,,,Stock Transfers,RMA2,1.00,6.00,6.00,,wh4,,1.00
61,26/12/2023,,,Stock Transfers,RMA2,1.00,6.00,6.00,,wh1,,1.00
61,26/12/2023,,,Stock Transfers,RMA2,1.00,6.00,6.00,,wh4,,1.00
64,26/12/2023,,,Stock Transfers,RMA2,1.00,6.00,6.00,,wh1,,1.00
64,26/12/2023,,,Stock Transfers,RMA2,1.00,6.00,6.00,,wh4,,1.00
Focus_31,26/12/2023,Vendor C,Purchase,Purchases Vouchers,item1,10.00,10.00,100.00,dep2,wh2,123.00,10.00
Focus_31,26/12/2023,Vendor C,Purchase,Purchases Vouchers,item2,15.00,6.00,90.00,dep2,wh2,,15.00
Focus_31,26/12/2023,Vendor C,Purchase,Purchases Returns,item1,10.00,10.00,100.00,dep2,wh2,123.00,10.00
Focus_31,26/12/2023,Vendor C,Purchase,Purchases Returns,item2,15.00,6.00,90.00,dep2,wh2,,15.00
28,26/12/2023,Vendor C,,Material Receipt Notes,item4,6.00,3.00,18.00,dep1,wh3,,6.00
28,26/12/2023,Vendor C,,Material Receipt Notes,item2,10.00,3.00,30.00,dep1,wh3,,10.00
29,26/12/2023,Vendor C,,Material Receipt Notes,item1,5.00,10.00,50.00,dep2,wh2,123.00,5.00
29,26/12/2023,Vendor C,,Material Receipt Notes,item2,7.00,6.00,42.00,dep2,wh2,,7.00
30,26/12/2023,Vendor B,,Material Receipt Notes,item3,10.00,3.00,30.00,dep1,wh2,,10.00
30,26/12/2023,Vendor B,,Material Receipt Notes,item4,20.00,6.00,120.00,dep1,wh2,,20.00
Focus_32,26/12/2023,Vendor C,Purchase,Purchases Vouchers,item1,12.00,10.00,120.00,dep2,wh2,123.00,12.00
Focus_32,26/12/2023,Vendor C,Purchase,Purchases Vouchers,item2,15.00,3.00,45.00,dep2,wh2,,15.00
Focus_32,26/12/2023,Vendor C,Purchase,Purchases Vouchers,item3,13.00,5.00,65.00,dep2,wh2,,13.00
Focus_32,26/12/2023,Vendor C,Purchase,Purchases Vouchers,item4,20.00,6.00,120.00,dep2,wh2,,20.00
31,26/12/2023,Vendor C,,Material Receipt Notes,item1,12.00,10.00,120.00,dep1,wh2,123.00,12.00
31,26/12/2023,Vendor C,,Material Receipt Notes,item2,15.00,3.00,45.00,dep1,wh2,,15.00
31,26/12/2023,Vendor C,,Material Receipt Notes,item3,13.00,5.00,65.00,dep1,wh2,,13.00
31,26/12/2023,Vendor C,,Material Receipt Notes,item4,20.00,6.00,120.00,dep1,wh2,,20.00
32,26/12/2023,Vendor B,,Material Receipt Notes,item1,10.00,10.00,100.00,dep1,wh3,123.00,10.00
33,26/12/2023,Vendor C,,Material Receipt Notes,item1,10.00,10.00,100.00,dep1,wh3,123.00,10.00
38,26/12/2023,Customer B,Sales - Computers,Sales Invoices,item2,15.00,,,dep4,wh3,,
38,26/12/2023,Customer B,Sales - Computers,Sales Invoices,item4,5.00,,,dep4,wh3,,
38,26/12/2023,Customer B,Sales - Computers,Sales Invoices,item3,10.00,,,dep4,wh3,,
1,26/12/2023,Customer B,Sales - Computers,Sales Returns,item2,10.00,,,dep4,wh3,,
34,26/12/2023,Vendor B,,Material Receipt Notes,RMA3,5.00,9.00,45.00,dep3,wh2,,5.00
34,26/12/2023,Vendor B,,Material Receipt Notes,RMA1,6.00,15.00,90.00,dep3,wh2,,6.00
1,26/12/2023,,,Excesses in Stocks,RMA3,1.00,5.00,5.00,,wh1,,1.00
1,26/12/2023,,,Shortages in Stock,RMA3,1.00,6.00,6.00,,wh1,,1.00
2,26/12/2023,,,Excesses in Stocks,RMA3,1.00,6.00,6.00,,wh1,,1.00
2,26/12/2023,,,Shortages in Stock,RMA3,1.00,5.00,5.00,,wh1,,1.00
13,27/12/2023,Customer B,,Delivery Notes,RMA1,1.00,6.00,6.00,dep2,wh1,,1.00
14,27/12/2023,Customer C,,Delivery Notes,RMA3,1.00,2.00,2.00,dep1,wh4,,1.00
66,27/12/2023,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh2,,1.00
66,27/12/2023,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh3,,1.00
67,27/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh2,,1.00
67,27/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh3,,1.00
69,27/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh2,,1.00
69,27/12/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh3,,1.00
40,27/12/2023,Customer C,Sales - Computers,Sales Invoices,item2,1.00,,,dep3,wh3,,
39,27/12/2023,Customer C,Sales - Computers,Sales Invoices,item1,10.00,,,dep3,wh3,123.00,
2,27/12/2023,Customer B,Sales - Computers,Sales Returns,item3,5.00,,,dep4,wh3,,
2,27/12/2023,Customer B,Sales - Computers,Sales Returns,item2,5.00,,,dep4,wh3,,
2,27/12/2023,Customer B,Sales - Computers,Sales Returns,item4,5.00,,,dep4,wh3,,
Focus_33,27/12/2023,Vendor B,Purchase,Purchases Vouchers,item1,5.00,3.00,15.00,dep1,wh2,123.00,5.00
Focus_33,27/12/2023,Vendor B,Purchase,Purchases Vouchers,item2,3.00,2.00,6.00,dep1,wh2,,3.00
Focus_33,27/12/2023,Vendor B,Purchase,Purchases Vouchers,item3,4.00,3.00,12.00,dep1,wh2,,4.00
Focus_33,27/12/2023,Vendor B,Purchase,Purchases Returns,item1,5.00,3.00,15.00,dep1,wh2,123.00,5.00
Focus_33,27/12/2023,Vendor B,Purchase,Purchases Returns,item2,3.00,2.00,6.00,dep1,wh2,,3.00
Focus_33,27/12/2023,Vendor B,Purchase,Purchases Returns,item3,4.00,3.00,12.00,dep1,wh2,,4.00
35,27/12/2023,Vendor A,,Material Receipt Notes,item3,10.00,5.00,50.00,dep1,wh1,,10.00
9,27/12/2023,Vendor C,Cost of goods sold - HA,New Pv,item3,10.00,5.00,50.00,dep3,wh3,,10.00
9,27/12/2023,Vendor C,Cost of goods sold - HA,New Pv,item4,15.00,6.00,90.00,dep3,wh3,,15.00
3,27/12/2023,Vendor C,Cost of goods sold - HA,New PR,item3,10.00,5.00,50.00,dep3,wh3,,10.00
3,27/12/2023,Vendor C,Cost of goods sold - HA,New PR,item4,15.00,6.00,90.00,dep3,wh3,,15.00
10,27/12/2023,Vendor B,Cost of goods sold - HA,New Pv,item3,10.00,5.00,50.00,dep3,wh3,,10.00
10,27/12/2023,Vendor B,Cost of goods sold - HA,New Pv,item4,15.00,6.00,90.00,dep3,wh3,,15.00
48,27/12/2023,Customer C,Sales - Computers,Sales Invoices,item2,2.00,6.00,12.00,dep3,wh3,,2.00
41,27/12/2023,Customer C,Sales - Computers,Sales Invoices,item2,1.00,,,dep3,wh3,,
46,27/12/2023,Customer C,Sales - Computers,Sales Invoices,item2,5.00,6.00,30.00,dep3,wh3,,5.00
46,27/12/2023,Customer C,Sales - Computers,Sales Invoices,item3,5.00,9.00,45.00,dep3,wh3,,5.00
72,28/12/2023,,,Stock Transfers,RMA2,1.00,3.00,3.00,,wh5,,1.00
72,28/12/2023,,,Stock Transfers,RMA2,1.00,3.00,3.00,,wh6,,1.00
15,28/12/2023,Customer A,,Delivery Notes,RMA1,1.00,5.00,5.00,dep1,wh2,,1.00
36,28/12/2023,Vendor B,,Material Receipt Notes,RMA1,1.00,8.00,8.00,dep2,wh1,,1.00
36,28/12/2023,Vendor B,,Material Receipt Notes,RMA2,1000.00,6.00,6000.00,dep2,wh1,,1000.00
16,28/12/2023,Customer A,,Delivery Notes,RMA1,1.00,5.00,5.00,dep1,wh1,,1.00
17,29/12/2023,Customer B,,Delivery Notes,RMA1,1.00,3.00,3.00,dep4,wh3,,1.00
74,29/12/2023,,,Stock Transfers,RMA2,1.00,2.00,2.00,,wh3,,1.00
74,29/12/2023,,,Stock Transfers,RMA2,1.00,2.00,2.00,,wh4,,1.00
42,01/01/2024,Customer B,Sales - Computers,Sales Invoices,item2,5.00,,,dep4,wh3,451.00,
43,01/01/2024,Customer B,Sales - Computers,Sales Invoices,item3,5.00,,,dep4,wh3,,
Focus_34,04/01/2024,Vendor C,Purchase,Purchases Returns,item2,20.00,3.00,60.00,dep2,wh2,451.00,20.00
Focus_34,11/01/2024,Vendor A,Purchase,Purchases Vouchers,RMA1,1.00,,,dep1,wh1,,
Focus_35,11/01/2024,Vendor A,Purchase,Purchases Returns,RMA1,1.00,8.00,8.00,dep1,wh1,,1.00
Focus_36,11/01/2024,Vendor A,Purchase,Purchases Returns,RMA1,1.00,8.00,8.00,dep1,wh1,,1.00
76,19/01/2024,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh1,,1.00
76,19/01/2024,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh2,,1.00
77,19/01/2024,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh1,,1.00
77,19/01/2024,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh2,,1.00
79,19/01/2024,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh1,,1.00
79,19/01/2024,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh2,,1.00
44,20/01/2024,Customer B,Sales - Computers,Sales Invoices,item2,4.00,,,dep2,wh2,451.00,
45,22/01/2024,Customer B,Sales - Computers,Sales Invoices,item3,10.00,,,dep3,wh1,,
3,22/01/2024,Customer B,Sales - Computers,Sales Returns,item3,5.00,6.00,30.00,dep3,wh1,,5.00
81,24/01/2024,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh3,,1.00
81,24/01/2024,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh1,,1.00
85,24/01/2024,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh3,,1.00
85,24/01/2024,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh1,,1.00
87,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh6,,1.00
87,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh4,,1.00
88,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh6,,1.00
88,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh4,,1.00
89,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh6,,1.00
89,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh4,,1.00
91,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh6,,1.00
91,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh4,,1.00
94,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh6,,1.00
94,08/02/2024,,,Stock Transfers,RMA2,1.00,5.00,5.00,,wh4,,1.00
Grand Total,,,,,,3476.73,2456.38,55990.91,,,10086.00,3716.73
